slice,rank,freq_Hz,prominence
sonics_train_mixed,0,11025.00,4.7866
sonics_train_mixed,1,53.83,3.4407
sonics_train_mixed,2,8764.01,1.7786
sonics_train_mixed,3,15945.34,1.6721
sonics_train_mixed,4,4435.84,1.4815
sonics_train_mixed,5,16053.00,1.2883
sonics_train_mixed,6,16989.70,0.9961
sonics_train_mixed,7,6610.69,0.9945
sonics_train_mixed,8,14330.35,0.9671
sonics_train_mixed,9,7719.65,0.9128
sonics_train_mixed,10,1571.92,0.7763
sonics_train_mixed,11,1981.05,0.7356
sonics_train_mixed,12,656.76,0.7209
sonics_train_mixed,13,990.53,0.7097
sonics_train_mixed,14,5512.50,0.6734
sonics_train_mixed,15,1324.29,0.6495
sonics_train_mixed,16,13232.15,0.6489
sonics_train_mixed,17,2228.69,0.6448
sonics_train_mixed,18,2099.49,0.6383
sonics_train_mixed,19,829.03,0.5909
sonics_val_real,0,15945.34,4.1757
sonics_val_real,1,53.83,3.7531
sonics_val_real,2,16053.00,3.6324
sonics_val_real,3,8774.78,2.4563
sonics_val_real,4,14685.64,2.0073
sonics_val_real,5,17043.53,1.7245
sonics_val_real,6,13361.35,1.6385
sonics_val_real,7,12037.06,1.4464
sonics_val_real,8,10572.80,1.3530
sonics_val_real,9,17172.73,1.2656
sonics_val_real,10,14825.61,1.2191
sonics_val_real,11,16882.03,1.1486
sonics_val_real,12,1173.56,1.1277
sonics_val_real,13,16989.70,1.1143
sonics_val_real,14,17323.46,1.0166
sonics_val_real,15,17108.13,0.9914
sonics_val_real,16,14524.15,0.9860
sonics_val_real,17,14954.81,0.9567
sonics_val_real,18,14890.21,0.9344
sonics_val_real,19,18486.25,0.9337
sonics_val_real_enc,0,53.83,4.2394
sonics_val_real_enc,1,4435.84,2.8353
sonics_val_real_enc,2,11025.00,2.5526
sonics_val_real_enc,3,21996.17,1.4752
sonics_val_real_enc,4,6610.69,1.3708
sonics_val_real_enc,5,16376.00,1.1391
sonics_val_real_enc,6,8817.85,0.9932
sonics_val_real_enc,7,19239.92,0.9917
sonics_val_real_enc,8,5512.50,0.9167
sonics_val_real_enc,9,1173.56,0.9167
sonics_val_real_enc,10,2217.92,0.8822
sonics_val_real_enc,11,15966.87,0.7989
sonics_val_real_enc,12,17861.79,0.7819
sonics_val_real_enc,13,3057.71,0.7768
sonics_val_real_enc,14,1324.29,0.7354
sonics_val_real_enc,15,20628.81,0.7224
sonics_val_real_enc,16,656.76,0.7166
sonics_val_real_enc,17,1108.96,0.6488
sonics_val_real_enc,18,2497.85,0.6455
sonics_val_real_enc,19,882.86,0.6341
sonics_val_fake,0,15945.34,4.1970
sonics_val_fake,1,53.83,3.7211
sonics_val_fake,2,16053.00,3.6186
sonics_val_fake,3,8764.01,2.8839
sonics_val_fake,4,14427.25,2.1562
sonics_val_fake,5,16989.70,2.1429
sonics_val_fake,6,13361.35,2.0091
sonics_val_fake,7,656.76,1.6471
sonics_val_fake,8,990.53,1.5402
sonics_val_fake,9,1571.92,1.4556
sonics_val_fake,10,14685.64,1.4453
sonics_val_fake,11,10508.20,1.4083
sonics_val_fake,12,12047.83,1.3770
sonics_val_fake,13,15008.64,1.3585
sonics_val_fake,14,14825.61,1.3260
sonics_val_fake,15,16882.03,1.2602
sonics_val_fake,16,1981.05,1.2540
sonics_val_fake,17,17172.73,1.1860
sonics_val_fake,18,14524.15,1.0630
sonics_val_fake,19,2637.82,1.0628
sonics_val_fake_enc,0,11025.00,7.7721
sonics_val_fake_enc,1,53.83,3.3200
sonics_val_fake_enc,2,15988.40,3.3103
sonics_val_fake_enc,3,4435.84,2.9566
sonics_val_fake_enc,4,8914.75,2.9322
sonics_val_fake_enc,5,15310.11,2.1772
sonics_val_fake_enc,6,14987.11,1.9587
sonics_val_fake_enc,7,13802.78,1.8627
sonics_val_fake_enc,8,13113.72,1.6286
sonics_val_fake_enc,9,14330.35,1.5761
sonics_val_fake_enc,10,12790.72,1.3929
sonics_val_fake_enc,11,990.53,1.3526
sonics_val_fake_enc,12,6610.69,1.2337
sonics_val_fake_enc,13,11950.93,1.1822
sonics_val_fake_enc,14,1485.79,1.1625
sonics_val_fake_enc,15,12123.19,1.0961
sonics_val_fake_enc,16,9916.04,1.0451
sonics_val_fake_enc,17,656.76,1.0286
sonics_val_fake_enc,18,2110.25,0.9726
sonics_val_fake_enc,19,14804.08,0.9655
fma_real,0,15999.17,4.1675
fma_real,1,53.83,2.4215
fma_real,2,19745.95,1.7934
fma_real,3,1044.36,1.4323
fma_real,4,19003.05,1.4199
fma_real,5,19875.15,1.3793
fma_real,6,18324.76,1.3067
fma_real,7,19207.62,1.2415
fma_real,8,17980.22,1.2291
fma_real,9,18863.09,1.2204
fma_real,10,19541.38,1.1940
fma_real,11,8085.72,1.1538
fma_real,12,882.86,1.1463
fma_real,13,17441.89,1.0980
fma_real,14,15202.44,1.0290
fma_real,15,13781.25,1.0033
fma_real,16,16429.83,0.9976
fma_real,17,12629.22,0.9832
fma_real,18,18529.32,0.9824
fma_real,19,1754.96,0.9757
fma_real_encoded,0,8817.85,3.7439
fma_real_encoded,1,53.83,2.9241
fma_real_encoded,2,17635.69,2.8659
fma_real_encoded,3,5760.13,1.9385
fma_real_encoded,4,1313.53,1.4513
fma_real_encoded,5,16537.50,1.2244
fma_real_encoded,6,8128.78,1.1705
fma_real_encoded,7,5512.50,1.1037
fma_real_encoded,8,19724.41,1.0987
fma_real_encoded,9,18195.56,1.0509
fma_real_encoded,10,9926.81,1.0194
fma_real_encoded,11,882.86,0.9786
fma_real_encoded,12,11025.00,0.9578
fma_real_encoded,13,5986.23,0.8734
fma_real_encoded,14,656.76,0.7993
fma_real_encoded,15,1981.05,0.7978
fma_real_encoded,16,7256.69,0.7567
fma_real_encoded,17,6718.36,0.7122
fma_real_encoded,18,990.53,0.7094
fma_real_encoded,19,1765.72,0.7047
fmc_fake_natural,0,1571.92,4.6560
fmc_fake_natural,1,14427.25,4.3581
fmc_fake_natural,2,4705.00,3.8317
fmc_fake_natural,3,15945.34,3.6749
fmc_fake_natural,4,64.60,3.3739
fmc_fake_natural,5,16063.77,3.2301
fmc_fake_natural,6,2659.35,3.2070
fmc_fake_natural,7,13339.82,2.9520
fmc_fake_natural,8,3337.65,2.5701
fmc_fake_natural,9,1044.36,2.4756
fmc_fake_natural,10,14954.81,1.9883
fmc_fake_natural,11,1173.56,1.8288
fmc_fake_natural,12,1475.02,1.8217
fmc_fake_natural,13,14524.15,1.8151
fmc_fake_natural,14,882.86,1.7658
fmc_fake_natural,15,14685.64,1.7222
fmc_fake_natural,16,1313.53,1.6181
fmc_fake_natural,17,14825.61,1.6116
fmc_fake_natural,18,17043.53,1.5040
fmc_fake_natural,19,1668.82,1.3770
fmc_fake_encoded,0,11025.00,7.6961
fmc_fake_encoded,1,710.60,5.5587
fmc_fake_encoded,2,64.60,3.0004
fmc_fake_encoded,3,1313.53,2.7323
fmc_fake_encoded,4,14330.35,2.7204
fmc_fake_encoded,5,1765.72,2.7019
fmc_fake_encoded,6,1399.66,2.3016
fmc_fake_encoded,7,1571.92,2.2314
fmc_fake_encoded,8,2207.15,2.1187
fmc_fake_encoded,9,1173.56,2.0806
fmc_fake_encoded,10,2099.49,1.6802
fmc_fake_encoded,11,2659.35,1.6261
fmc_fake_encoded,12,13232.15,1.5644
fmc_fake_encoded,13,7719.65,1.4502
fmc_fake_encoded,14,4414.31,1.3520
fmc_fake_encoded,15,6610.69,1.2611
fmc_fake_encoded,16,990.53,1.2364
fmc_fake_encoded,17,12123.19,1.2338
fmc_fake_encoded,18,9926.81,1.2070
fmc_fake_encoded,19,882.86,1.2039
